time,open,high,low,close,volume
1672610400,1.07039,1.0709,1.06937,1.06985,174
1672624800,1.06985,1.07041,1.06852,1.06968,598
1672639200,1.06968,1.07011,1.06636,1.06791,7812
1672653600,1.06791,1.06898,1.0675,1.0679,5783
1672668000,1.0679,1.06822,1.06516,1.0661,7429
1672682400,1.0661,1.06744,1.06504,1.06638,2484
1672696800,1.06638,1.06835,1.06502,1.066,15034
1672711200,1.066,1.06804,1.06578,1.06636,14332
1672725600,1.06636,1.06679,1.05341,1.05476,39314
1672740000,1.05476,1.057,1.05195,1.05603,33241
1672754400,1.05603,1.05974,1.05376,1.05463,42112
1672768800,1.05463,1.05688,1.05432,1.0549,16894
1672783200,1.0549,1.05699,1.05408,1.05669,18153
1672797600,1.05669,1.05785,1.05616,1.05694,12024
1672812000,1.05694,1.06354,1.05598,1.06108,35333
1672826400,1.06108,1.06245,1.0595,1.06106,24753
1672840800,1.06106,1.06285,1.05814,1.06074,41335
1672855200,1.06074,1.06129,1.05852,1.06044,24663
1672869600,1.06044,1.06316,1.06011,1.06202,14004
1672884000,1.06202,1.06204,1.06016,1.06108,12651
1672898400,1.06108,1.0629,1.05902,1.06234,24132
1672912800,1.06234,1.06261,1.05514,1.05524,29775
1672927200,1.05524,1.05677,1.0515,1.053,42258
1672941600,1.053,1.05433,1.05158,1.05215,20043
1672956000,1.05215,1.05326,1.05192,1.05252,10008
1672970400,1.05252,1.05366,1.05108,1.05146,10294
1672984800,1.05146,1.0531,1.04964,1.05073,22541
1672999200,1.05073,1.05452,1.04833,1.05428,33419
1673013600,1.05428,1.06382,1.05009,1.06376,52056
1673028000,1.06376,1.06482,1.06296,1.06444,12601
1673215200,1.06444,1.06724,1.06394,1.06668,12744
1673229600,1.06668,1.06832,1.06662,1.06772,12200
1673244000,1.06772,1.06998,1.06603,1.06722,26774
1673258400,1.06722,1.07318,1.06617,1.07251,26422
1673272800,1.07251,1.07608,1.07116,1.07502,29688
1673287200,1.07502,1.07542,1.07302,1.07338,17196
1673301600,1.07338,1.074,1.07208,1.07364,17846
1673316000,1.07364,1.07442,1.07213,1.07428,13482
1673330400,1.07428,1.07518,1.0722,1.07461,24358
1673344800,1.07461,1.07462,1.07122,1.07216,21473
1673359200,1.07216,1.07594,1.07216,1.07335,39037
1673373600,1.07335,1.0744,1.07278,1.07342,12479
1673388000,1.07342,1.07455,1.07256,1.0731,12846
1673402400,1.0731,1.0757,1.07266,1.07476,10587
1673416800,1.07476,1.07574,1.07256,1.07416,21391
1673431200,1.07416,1.07552,1.07282,1.07498,22001
1673445600,1.07498,1.07764,1.07364,1.07468,26024
1673460000,1.07468,1.07685,1.0735,1.07579,12916
1673474400,1.07579,1.07748,1.07523,1.07667,18133
1673488800,1.07667,1.07753,1.07614,1.07628,10233
1673503200,1.07628,1.07736,1.07428,1.07654,20812
1673517600,1.07654,1.08388,1.07305,1.08292,38456
1673532000,1.08292,1.08491,1.07518,1.08488,62393
1673546400,1.08488,1.0867,1.08394,1.08514,23667
1673560800,1.08514,1.0868,1.08454,1.0856,13248
1673575200,1.0856,1.08564,1.08318,1.08372,13404
1673589600,1.08372,1.08646,1.08332,1.08425,27156
1673604000,1.08425,1.08518,1.07926,1.07938,28243
1673618400,1.07938,1.08388,1.07804,1.0828,39905
1673632800,1.0828,1.08358,1.0818,1.08324,11938
1673820000,1.08324,1.08724,1.08204,1.0868,14175
1673834400,1.0868,1.08743,1.08509,1.08608,12160
1673848800,1.08608,1.08608,1.08015,1.08212,22142
1673863200,1.08212,1.08368,1.08059,1.08158,18434
1673877600,1.08158,1.08292,1.08118,1.08138,14375
1673892000,1.08138,1.08248,1.08109,1.08237,2841
1673906400,1.08237,1.08338,1.0814,1.08174,12824
1673920800,1.08174,1.0833,1.08062,1.0831,11532
1673935200,1.0831,1.08388,1.0811,1.08175,24460
1673949600,1.08175,1.0858,1.08092,1.08426,31262
1673964000,1.08426,1.08695,1.07744,1.07822,44153
1673978400,1.07822,1.08039,1.07798,1.0788,13879
1673992800,1.0788,1.07964,1.07824,1.07964,9996
1674007200,1.07964,1.07994,1.07662,1.07798,26773
1674021600,1.07798,1.08718,1.07796,1.087,35276
1674036000,1.087,1.08702,1.08116,1.08584,34223
1674050400,1.08584,1.08876,1.07873,1.0796,48847
1674064800,1.0796,1.07994,1.0787,1.07946,17464
1674079200,1.07946,1.07984,1.07826,1.07878,13073
1674093600,1.07878,1.08056,1.07824,1.07917,12027
1674108000,1.07917,1.08295,1.07822,1.08248,23627
1674122400,1.08248,1.08385,1.07956,1.08098,32157
1674136800,1.08098,1.08251,1.07835,1.08164,35721
1674151200,1.08164,1.084,1.0813,1.08312,18124
1674165600,1.08312,1.08442,1.08281,1.08364,7927
1674180000,1.08364,1.08442,1.08251,1.08352,9622
1674194400,1.08352,1.0859,1.08209,1.0831,20122
1674208800,1.0831,1.08474,1.08024,1.08066,23998
1674223200,1.08066,1.08478,1.08046,1.08439,29157
1674237600,1.08439,1.08585,1.08337,1.08555,13581
1674424800,1.08555,1.08998,1.08555,1.08948,11606
1674439200,1.08948,1.09033,1.08892,1.08923,9596
1674453600,1.08923,1.0927,1.08872,1.09118,22968
1674468000,1.09118,1.09155,1.08532,1.0859,26396
1674482400,1.0859,1.0876,1.08462,1.08626,34347
1674496800,1.08626,1.08732,1.08475,1.08718,15734
1674511200,1.08718,1.08827,1.08678,1.0881,6897
1674525600,1.0881,1.0883,1.08694,1.08782,6766
1674540000,1.08782,1.08981,1.0852,1.0861,21011
1674554400,1.0861,1.0881,1.08521,1.0866,22246
1674568800,1.0866,1.0887,1.08352,1.08835,36115
1674583200,1.08835,1.08891,1.0874,1.08882,9952
1674597600,1.08882,1.08942,1.08808,1.08932,9212
1674612000,1.08932,1.09028,1.0892,1.08976,8188
1674626400,1.08976,1.09114,1.0868,1.08814,20208
1674640800,1.08814,1.0885,1.08574,1.08722,22674
1674655200,1.08722,1.09237,1.08687,1.08992,35136
1674669600,1.08992,1.09182,1.08992,1.09152,12076
1674684000,1.09152,1.09248,1.0907,1.09192,8496
1674698400,1.09192,1.09218,1.09092,1.09188,8495
1674712800,1.09188,1.09296,1.08926,1.08958,20497
1674727200,1.08958,1.09084,1.08731,1.09026,24189
1674741600,1.09026,1.09176,1.08506,1.08648,37989
1674756000,1.08648,1.08948,1.08636,1.08912,10497
1674770400,1.08912,1.09004,1.08862,1.08896,8370
1674784800,1.08896,1.089,1.08659,1.08738,8563
1674799200,1.08738,1.08922,1.08658,1.08838,17118
1674813600,1.08838,1.08954,1.08594,1.08622,20314
1674828000,1.08622,1.08792,1.08379,1.08666,34730
1674842400,1.08666,1.0873,1.08564,1.08679,9630
1675029600,1.08679,1.08758,1.086,1.08736,9231
1675044000,1.08736,1.08796,1.08644,1.08692,13529
1675058400,1.08692,1.09042,1.0853,1.0902,22109
1675072800,1.0902,1.09139,1.08861,1.08862,22019
1675087200,1.08862,1.08998,1.08576,1.08578,29853
1675101600,1.08578,1.08607,1.08394,1.08517,11979
1675116000,1.08517,1.08602,1.08468,1.08578,10153
1675130400,1.08578,1.08592,1.08331,1.08348,8942
1675144800,1.08348,1.08498,1.08022,1.08299,22932
