horizon,close_median
1,1.16132307
2,1.16126704
3,1.16125131
4,1.16130435
5,1.16127765
6,1.16131890
7,1.16134250
8,1.16119444
9,1.16110992
10,1.16108763
11,1.16113997
12,1.16117132
13,1.16124094
14,1.16123736
15,1.16113794
16,1.16099954
17,1.16098309
18,1.16090775
19,1.16091526
20,1.16099095
21,1.16086233
22,1.16070342
23,1.16055763
24,1.16047323
25,1.16040123
26,1.16027892
27,1.16023171
28,1.16021276
29,1.15996599
30,1.15981233
31,1.15977323
32,1.15979660
33,1.15984762
34,1.15987086
35,1.15984857
36,1.15969086
37,1.15956652
38,1.15943241
39,1.15933704
40,1.15931010
41,1.15931714
42,1.15932691
43,1.15914476
44,1.15905046
45,1.15906417
46,1.15908039
47,1.15910685
48,1.15912640
